Facility_Code,Health_Service,Facility_Name,Last_Month_In_QTR,Month,Quarter,Year,Triage_Category,Number_of_Attendances,Variation_Attendances_Percent,Patients_Seen_Within_Recommended_Times_Percent,Median_Waiting_Time_Minutes,Patients_Did_Not_Wait_For_Treatment_Percent,Patients_Admitted_From_ED_Percent,Admissions_To_Hospital_Within_4_Hours_Percent,ED_Stay_Within_4_Hours_Percent,Number_Left_After_Treatment_Commenced,Percent_Left_After_Treatment_Commenced,Number_Did_Not_Wait_For_Treatment
15,West Moreton,Ipswich,1/07/2015,7,3,2015,1,34,-22,100,0,0,82,50,50,0,0,0
15,West Moreton,Ipswich,1/07/2015,7,3,2015,2,679,19,82,4,1,60,69,76,2,0,6
15,West Moreton,Ipswich,1/07/2015,7,3,2015,3,2373,13,38,47,3,42,60,70,109,5,78
15,West Moreton,Ipswich,1/07/2015,7,3,2015,4,1469,-5,57,50,3,14,60,85,145,10,42
15,West Moreton,Ipswich,1/07/2015,7,3,2015,5,260,0,88,43,1,5,83,96,36,14,3
15,West Moreton,Ipswich,1/07/2015,7,3,2015,ALL,4815,7,53,35,3,34,62,77,292,6,129
16,Metro North,Redcliffe,1/07/2015,7,3,2015,1,24,25,96,0,0,71,47,42,0,0,0
16,Metro North,Redcliffe,1/07/2015,7,3,2015,2,672,0,87,5,1,67,46,55,0,0,4
16,Metro North,Redcliffe,1/07/2015,7,3,2015,3,2433,1,61,18,3,40,44,60,42,2,74
16,Metro North,Redcliffe,1/07/2015,7,3,2015,4,1698,-3,77,21,3,16,51,81,63,4,59
16,Metro North,Redcliffe,1/07/2015,7,3,2015,5,117,-14,98,14,1,3,75,97,9,8,1
16,Metro North,Redcliffe,1/07/2015,7,3,2015,ALL,4944,-1,71,14,3,35,46,67,114,2,138
22,Metro South,Queen Elizabeth II,1/07/2015,7,3,2015,1,20,-9,100,0,0,65,62,70,0,0,0
22,Metro South,Queen Elizabeth II,1/07/2015,7,3,2015,2,715,20,84,6,1,73,48,57,0,0,9
22,Metro South,Queen Elizabeth II,1/07/2015,7,3,2015,3,1929,18,72,19,1,49,62,71,37,2,18
22,Metro South,Queen Elizabeth II,1/07/2015,7,3,2015,4,1591,-4,88,20,1,16,68,88,44,3,19
22,Metro South,Queen Elizabeth II,1/07/2015,7,3,2015,5,149,-22,95,17,1,3,100,96,14,9,2
22,Metro South,Queen Elizabeth II,1/07/2015,7,3,2015,ALL,4404,7,81,16,1,39,59,76,95,2,48
28,Metro South,Redland,1/07/2015,7,3,2015,1,11,20,100,0,0,73,25,18,0,0,0
28,Metro South,Redland,1/07/2015,7,3,2015,2,529,6,65,8,2,50,37,45,0,0,10
28,Metro South,Redland,1/07/2015,7,3,2015,3,2203,11,42,39,1,28,37,63,74,3,17
28,Metro South,Redland,1/07/2015,7,3,2015,4,1638,1,59,44,0,9,40,80,90,5,5
28,Metro South,Redland,1/07/2015,7,3,2015,5,273,-25,90,28,1,4,60,92,11,4,4
28,Metro South,Redland,1/07/2015,7,3,2015,ALL,4654,4,54,33,1,23,38,69,175,4,36
29,Metro South,Logan,1/07/2015,7,3,2015,1,44,47,100,0,2,89,41,43,0,0,1
29,Metro South,Logan,1/07/2015,7,3,2015,2,1399,48,50,11,1,64,54,59,3,0,20
29,Metro South,Logan,1/07/2015,7,3,2015,3,3479,8,49,31,2,43,57,67,67,2,65
29,Metro South,Logan,1/07/2015,7,3,2015,4,1797,29,65,37,2,18,66,85,103,6,37
29,Metro South,Logan,1/07/2015,7,3,2015,5,208,17,87,41,2,7,80,89,21,10,5
29,Metro South,Logan,1/07/2015,7,3,2015,ALL,6927,20,55,27,2,40,57,71,194,3,128
30,Metro North,Caboolture,1/07/2015,7,3,2015,1,30,200,100,0,0,77,43,43,0,0,0
30,Metro North,Caboolture,1/07/2015,7,3,2015,2,780,14,66,8,2,67,56,64,1,0,12
30,Metro North,Caboolture,1/07/2015,7,3,2015,3,2175,15,51,29,5,41,50,68,48,2,103
30,Metro North,Caboolture,1/07/2015,7,3,2015,4,1446,9,73,22,5,16,57,86,65,5,74
30,Metro North,Caboolture,1/07/2015,7,3,2015,5,83,3,95,11,4,12,80,95,4,5,3
30,Metro North,Caboolture,1/07/2015,7,3,2015,ALL,4514,13,62,19,4,37,53,74,118,3,192
43,Sunshine Coast,Caloundra,1/07/2015,7,3,2015,1,4,-64,100,1,0,0,0,50,0,0,0
43,Sunshine Coast,Caloundra,1/07/2015,7,3,2015,2,214,-6,76,7,1,59,90,82,0,0,2
43,Sunshine Coast,Caloundra,1/07/2015,7,3,2015,3,947,12,63,21,2,43,82,79,23,2,15
43,Sunshine Coast,Caloundra,1/07/2015,7,3,2015,4,1402,11,62,38,2,19,77,86,100,7,29
43,Sunshine Coast,Caloundra,1/07/2015,7,3,2015,5,114,-1,82,21,1,4,50,96,12,11,1
43,Sunshine Coast,Caloundra,1/07/2015,7,3,2015,ALL,2681,9,64,25,2,30,81,84,135,5,47
49,Sunshine Coast,Nambour,1/07/2015,7,3,2015,1,50,-11,100,0,0,80,60,58,0,0,0
49,Sunshine Coast,Nambour,1/07/2015,7,3,2015,2,768,-6,80,6,1,75,54,58,2,0,6
49,Sunshine Coast,Nambour,1/07/2015,7,3,2015,3,1980,4,55,27,1,54,50,61,27,1,18
49,Sunshine Coast,Nambour,1/07/2015,7,3,2015,4,1317,7,67,37,3,28,54,76,90,7,33
49,Sunshine Coast,Nambour,1/07/2015,7,3,2015,5,227,33,85,40,1,9,70,90,26,11,2
49,Sunshine Coast,Nambour,1/07/2015,7,3,2015,ALL,4342,4,65,23,1,48,52,66,145,3,59
62,Wide Bay,Bundaberg,1/07/2015,7,3,2015,1,12,-43,100,0,0,92,64,58,0,0,0
62,Wide Bay,Bundaberg,1/07/2015,7,3,2015,2,272,23,80,7,0,71,58,61,0,0,1
62,Wide Bay,Bundaberg,1/07/2015,7,3,2015,3,1395,8,78,18,1,53,67,75,11,1,16
62,Wide Bay,Bundaberg,1/07/2015,7,3,2015,4,2316,3,81,29,0,11,62,92,76,3,8
62,Wide Bay,Bundaberg,1/07/2015,7,3,2015,5,84,-2,99,24,0,2,100,100,5,6,0
62,Wide Bay,Bundaberg,1/07/2015,7,3,2015,ALL,4079,5,80,21,1,30,65,84,92,2,25
68,Sunshine Coast,Gympie,1/07/2015,7,3,2015,1,10,-9,100,0,0,30,67,80,0,0,0
68,Sunshine Coast,Gympie,1/07/2015,7,3,2015,2,292,13,78,6,1,37,71,73,0,0,2
68,Sunshine Coast,Gympie,1/07/2015,7,3,2015,3,702,-7,74,17,1,20,66,80,6,1,10
68,Sunshine Coast,Gympie,1/07/2015,7,3,2015,4,1096,-15,74,25,2,4,59,93,54,5,27
68,Sunshine Coast,Gympie,1/07/2015,7,3,2015,5,192,-14,92,16,3,4,100,99,13,7,5
68,Sunshine Coast,Gympie,1/07/2015,7,3,2015,ALL,2292,-10,76,16,2,13,68,87,73,3,44
69,Wide Bay,Hervey Bay,1/07/2015,7,3,2015,1,20,5,100,0,0,50,30,30,0,0,0
69,Wide Bay,Hervey Bay,1/07/2015,7,3,2015,2,337,-12,84,6,1,67,44,48,0,0,3
69,Wide Bay,Hervey Bay,1/07/2015,7,3,2015,3,1239,8,61,22,2,45,37,56,20,2,23
69,Wide Bay,Hervey Bay,1/07/2015,7,3,2015,4,1069,-15,53,51,2,11,39,80,104,10,24
69,Wide Bay,Hervey Bay,1/07/2015,7,3,2015,5,76,-21,88,27,0,4,33,87,4,5,0
69,Wide Bay,Hervey Bay,1/07/2015,7,3,2015,ALL,2741,-6,62,24,2,33,39,65,128,5,50
71,Wide Bay,Maryborough,1/07/2015,7,3,2015,1,6,40,100,0,0,0,0,83,0,0,0
71,Wide Bay,Maryborough,1/07/2015,7,3,2015,2,174,16,86,6,0,16,41,48,0,0,0
71,Wide Bay,Maryborough,1/07/2015,7,3,2015,3,544,7,76,17,2,16,64,76,8,1,9
71,Wide Bay,Maryborough,1/07/2015,7,3,2015,4,740,-17,70,32,1,7,72,92,32,4,9
71,Wide Bay,Maryborough,1/07/2015,7,3,2015,5,107,-30,93,25,6,5,100,96,8,7,6
71,Wide Bay,Maryborough,1/07/2015,7,3,2015,ALL,1571,-8,75,20,2,11,64,82,48,3,24
104,Darling Downs,Toowoomba,1/07/2015,7,3,2015,1,51,89,100,0,0,69,51,59,0,0,0
104,Darling Downs,Toowoomba,1/07/2015,7,3,2015,2,465,3,91,4,1,70,58,65,0,0,4
104,Darling Downs,Toowoomba,1/07/2015,7,3,2015,3,2053,4,62,20,3,50,59,69,63,3,52
104,Darling Downs,Toowoomba,1/07/2015,7,3,2015,4,1484,9,60,39,7,12,60,83,158,11,100
104,Darling Downs,Toowoomba,1/07/2015,7,3,2015,5,97,9,79,39,3,3,67,91,23,24,3
104,Darling Downs,Toowoomba,1/07/2015,7,3,2015,ALL,4150,7,66,21,4,38,59,74,244,6,159
136,Central Queensland,Gladstone,1/07/2015,7,3,2015,1,30,114,100,0,3,77,74,70,0,0,1
136,Central Queensland,Gladstone,1/07/2015,7,3,2015,2,356,21,82,5,2,45,67,80,1,0,6
136,Central Queensland,Gladstone,1/07/2015,7,3,2015,3,858,8,83,11,1,19,63,87,19,2,12
136,Central Queensland,Gladstone,1/07/2015,7,3,2015,4,943,-12,82,15,1,6,67,94,67,7,8
136,Central Queensland,Gladstone,1/07/2015,7,3,2015,5,153,-6,95,13,0,2,100,100,7,5,0
136,Central Queensland,Gladstone,1/07/2015,7,3,2015,ALL,2340,0,84,10,1,17,66,90,94,4,27
141,Central Queensland,Rockhampton,1/07/2015,7,3,2015,1,17,29,100,0,0,94,63,65,0,0,0
141,Central Queensland,Rockhampton,1/07/2015,7,3,2015,2,442,-1,90,5,2,63,47,53,0,0,11
141,Central Queensland,Rockhampton,1/07/2015,7,3,2015,3,1671,9,86,13,2,41,52,70,15,1,26
141,Central Queensland,Rockhampton,1/07/2015,7,3,2015,4,1589,2,84,21,3,14,51,84,62,4,53
141,Central Queensland,Rockhampton,1/07/2015,7,3,2015,5,134,-13,96,21,4,7,89,97,5,4,6
141,Central Queensland,Rockhampton,1/07/2015,7,3,2015,ALL,3853,4,86,13,2,31,51,75,82,2,96
172,Mackay,Mackay,1/07/2015,7,3,2015,1,51,65,100,0,4,69,40,49,0,0,2
172,Mackay,Mackay,1/07/2015,7,3,2015,2,496,8,81,6,1,58,39,56,3,1,3
172,Mackay,Mackay,1/07/2015,7,3,2015,3,1560,8,80,13,1,30,44,75,26,2,17
172,Mackay,Mackay,1/07/2015,7,3,2015,4,1383,-17,84,19,2,7,45,91,66,5,21
172,Mackay,Mackay,1/07/2015,7,3,2015,5,173,-7,95,17,1,2,33,98,10,6,1
172,Mackay,Mackay,1/07/2015,7,3,2015,ALL,3663,-3,83,13,1,24,43,79,105,3,44
200,Townsville,Townsville,1/07/2015,7,3,2015,1,84,-7,100,0,0,85,77,79,0,0,0
200,Townsville,Townsville,1/07/2015,7,3,2015,2,857,13,82,7,2,58,64,75,1,0,15
200,Townsville,Townsville,1/07/2015,7,3,2015,3,2733,4,76,16,2,40,68,84,10,0,46
200,Townsville,Townsville,1/07/2015,7,3,2015,4,2508,2,81,19,2,17,73,92,94,4,49
200,Townsville,Townsville,1/07/2015,7,3,2015,5,190,7,95,19,1,0,0,99,9,5,1
200,Townsville,Townsville,1/07/2015,7,3,2015,ALL,6372,4,79,14,2,33,68,86,114,2,111
201,Metro North,Royal & Women's,1/07/2015,7,3,2015,1,50,-17,100,0,2,76,53,52,0,0,1
201,Metro North,Royal & Women's,1/07/2015,7,3,2015,2,821,18,73,5,2,58,43,57,2,0,14
201,Metro North,Royal & Women's,1/07/2015,7,3,2015,3,2492,-2,75,17,2,43,42,65,24,1,51
201,Metro North,Royal & Women's,1/07/2015,7,3,2015,4,2117,6,90,19,2,22,46,78,27,1,52
201,Metro North,Royal & Women's,1/07/2015,7,3,2015,5,488,-26,97,17,3,7,54,93,15,3,15
201,Metro North,Royal & Women's,1/07/2015,7,3,2015,ALL,5968,1,82,15,2,35,43,70,68,1,133
202,Childrens Health Queensland,Queensland Children's,1/07/2015,7,3,2015,1,52,0,100,0,0,75,46,48,0,0,0
202,Childrens Health Queensland,Queensland Children's,1/07/2015,7,3,2015,2,757,0,99,4,0,57,48,60,1,0,2
202,Childrens Health Queensland,Queensland Children's,1/07/2015,7,3,2015,3,1745,0,61,23,0,32,43,71,6,0,5
202,Childrens Health Queensland,Queensland Children's,1/07/2015,7,3,2015,4,2580,0,69,39,0,12,42,85,54,2,4
202,Childrens Health Queensland,Queensland Children's,1/07/2015,7,3,2015,5,283,0,92,33,0,4,64,96,7,2,0
202,Childrens Health Queensland,Queensland Children's,1/07/2015,7,3,2015,ALL,5417,0,72,25,0,25,45,77,68,1,11
214,Cairns and Hinterland,Cairns,1/07/2015,7,3,2015,1,77,45,100,0,1,90,46,47,0,0,1
214,Cairns and Hinterland,Cairns,1/07/2015,7,3,2015,2,767,-4,76,7,1,67,42,52,0,0,11
214,Cairns and Hinterland,Cairns,1/07/2015,7,3,2015,3,2161,4,65,20,3,50,37,58,23,1,60
214,Cairns and Hinterland,Cairns,1/07/2015,7,3,2015,4,1964,-3,70,31,4,27,45,77,86,4,85
214,Cairns and Hinterland,Cairns,1/07/2015,7,3,2015,5,397,14,91,30,5,7,54,92,35,9,20
214,Cairns and Hinterland,Cairns,1/07/2015,7,3,2015,ALL,5366,1,71,19,3,42,41,67,144,3,177
246,North West,Mount Isa,1/07/2015,7,3,2015,1,5,0,100,0,0,60,67,60,0,0,0
246,North West,Mount Isa,1/07/2015,7,3,2015,2,212,54,99,3,1,42,58,76,0,0,2
246,North West,Mount Isa,1/07/2015,7,3,2015,3,662,10,94,8,3,22,57,84,8,1,17
246,North West,Mount Isa,1/07/2015,7,3,2015,4,1257,-15,89,16,1,4,46,95,53,4,14
246,North West,Mount Isa,1/07/2015,7,3,2015,5,438,-1,96,17,0,1,100,100,24,5,2
246,North West,Mount Isa,1/07/2015,7,3,2015,ALL,2574,-3,92,11,1,11,56,92,85,3,35
934,Gold Coast,Robina,1/07/2015,7,3,2015,1,10,-38,100,0,0,80,63,50,0,0,0
934,Gold Coast,Robina,1/07/2015,7,3,2015,2,629,6,74,7,1,59,78,80,3,0,8
934,Gold Coast,Robina,1/07/2015,7,3,2015,3,2641,7,44,36,2,44,64,70,173,7,46
934,Gold Coast,Robina,1/07/2015,7,3,2015,4,1469,-9,63,35,1,14,65,82,171,12,18
934,Gold Coast,Robina,1/07/2015,7,3,2015,5,87,4,85,33,1,8,71,93,17,20,1
934,Gold Coast,Robina,1/07/2015,7,3,2015,ALL,4836,2,55,28,2,36,67,75,364,8,73
936,Gold Coast,Gold Coast,1/07/2015,7,3,2015,1,191,46,100,0,2,82,68,65,0,0,4
936,Gold Coast,Gold Coast,1/07/2015,7,3,2015,2,1452,4,56,9,1,68,75,79,7,0,12
936,Gold Coast,Gold Coast,1/07/2015,7,3,2015,3,4648,21,41,41,1,45,65,74,271,6,34
936,Gold Coast,Gold Coast,1/07/2015,7,3,2015,4,1627,-4,60,44,1,15,68,84,134,8,12
936,Gold Coast,Gold Coast,1/07/2015,7,3,2015,5,143,9,85,35,0,8,55,92,25,17,0
936,Gold Coast,Gold Coast,1/07/2015,7,3,2015,ALL,8061,12,50,29,1,43,68,77,437,5,62
99999,,Queensland,1/07/2015,7,3,2015,1,1012,15,100,0,1,79,59,59,0,0,10
99999,,Queensland,1/07/2015,7,3,2015,2,16318,11,76,6,1,63,55,62,28,0,183
99999,,Queensland,1/07/2015,7,3,2015,3,51387,7,61,22,2,42,54,69,1185,2,929
99999,,Queensland,1/07/2015,7,3,2015,4,41580,-1,72,29,2,15,57,85,2133,5,919
99999,,Queensland,1/07/2015,7,3,2015,5,5333,-4,92,23,2,5,67,94,404,8,106
99999,,Queensland,1/07/2015,7,3,2015,ALL,115630,4,69,20,2,34,55,75,3750,3,2147
1,Mater Public Hospitals,Mater Adult,1/03/2016,3,1,2016,1,2,100,100,0,0,100,50,50,0,0,0
1,Mater Public Hospitals,Mater Adult,1/03/2016,3,1,2016,2,265,8,82,6,1,54,68,77,0,0,2
1,Mater Public Hospitals,Mater Adult,1/03/2016,3,1,2016,3,1642,28,53,29,1,41,64,78,4,0,24
1,Mater Public Hospitals,Mater Adult,1/03/2016,3,1,2016,4,1678,-2,53,54,3,12,68,89,88,5,56
1,Mater Public Hospitals,Mater Adult,1/03/2016,3,1,2016,5,154,32,68,52,3,3,80,94,31,20,5
1,Mater Public Hospitals,Mater Adult,1/03/2016,3,1,2016,ALL,3741,11,56,35,2,27,65,84,123,3,87
4,Metro North,Prince Charles,1/03/2016,3,1,2016,1,44,132,100,0,0,80,49,52,0,0,0
4,Metro North,Prince Charles,1/03/2016,3,1,2016,2,880,20,79,7,2,66,47,53,2,0,14
4,Metro North,Prince Charles,1/03/2016,3,1,2016,3,3095,1,60,23,1,48,48,62,67,2,34
4,Metro North,Prince Charles,1/03/2016,3,1,2016,4,2971,2,77,30,1,16,59,84,85,3,21
4,Metro North,Prince Charles,1/03/2016,3,1,2016,5,640,0,95,23,0,4,75,93,35,5,3
4,Metro North,Prince Charles,1/03/2016,3,1,2016,ALL,7630,4,72,21,1,34,50,72,189,2,72
11,Metro South,Princess Alexandra,1/03/2016,3,1,2016,1,92,-5,97,0,0,91,51,51,0,0,0
11,Metro South,Princess Alexandra,1/03/2016,3,1,2016,2,1136,0,52,10,1,74,45,51,1,0,12
11,Metro South,Princess Alexandra,1/03/2016,3,1,2016,3,2646,-6,62,22,2,56,47,57,35,1,52
11,Metro South,Princess Alexandra,1/03/2016,3,1,2016,4,1106,-10,80,22,3,29,48,71,35,3,36
11,Metro South,Princess Alexandra,1/03/2016,3,1,2016,5,206,-42,89,23,3,10,35,81,13,6,6
11,Metro South,Princess Alexandra,1/03/2016,3,1,2016,ALL,5186,-8,66,18,2,53,47,60,84,2,106
15,West Moreton,Ipswich,1/03/2016,3,1,2016,1,41,-13,100,0,0,71,48,56,0,0,0
15,West Moreton,Ipswich,1/03/2016,3,1,2016,2,794,13,80,4,2,59,64,73,2,0,13
15,West Moreton,Ipswich,1/03/2016,3,1,2016,3,2755,13,43,38,3,40,51,63,136,5,94
15,West Moreton,Ipswich,1/03/2016,3,1,2016,4,1570,6,43,70,3,16,56,79,178,11,46
15,West Moreton,Ipswich,1/03/2016,3,1,2016,5,323,16,76,67,3,6,67,90,52,16,9
15,West Moreton,Ipswich,1/03/2016,3,1,2016,ALL,5483,11,51,35,3,34,55,71,368,7,162
16,Metro North,Redcliffe,1/03/2016,3,1,2016,1,16,-43,100,0,0,75,25,25,0,0,0
16,Metro North,Redcliffe,1/03/2016,3,1,2016,2,657,5,85,6,1,67,40,50,1,0,6
16,Metro North,Redcliffe,1/03/2016,3,1,2016,3,2650,3,47,34,5,39,41,57,56,2,125
16,Metro North,Redcliffe,1/03/2016,3,1,2016,4,1883,-10,59,42,5,16,48,79,74,4,99
16,Metro North,Redcliffe,1/03/2016,3,1,2016,5,214,31,90,27,4,7,71,96,11,5,8
16,Metro North,Redcliffe,1/03/2016,3,1,2016,ALL,5420,-1,58,27,4,33,42,65,142,3,238
22,Metro South,Queen Elizabeth II,1/03/2016,3,1,2016,1,14,-13,100,0,0,71,40,50,0,0,0
22,Metro South,Queen Elizabeth II,1/03/2016,3,1,2016,2,688,4,87,5,1,65,54,59,0,0,6
22,Metro South,Queen Elizabeth II,1/03/2016,3,1,2016,3,2212,10,71,19,1,43,54,66,35,2,27
22,Metro South,Queen Elizabeth II,1/03/2016,3,1,2016,4,1881,-2,83,25,2,12,52,83,56,3,35
22,Metro South,Queen Elizabeth II,1/03/2016,3,1,2016,5,161,-26,90,23,1,1,100,96,14,9,1
22,Metro South,Queen Elizabeth II,1/03/2016,3,1,2016,ALL,4956,3,78,18,1,33,54,72,105,2,69
28,Metro South,Redland,1/03/2016,3,1,2016,1,14,-48,93,0,0,29,0,29,0,0,0
28,Metro South,Redland,1/03/2016,3,1,2016,2,648,16,72,7,2,50,45,51,1,0,15
28,Metro South,Redland,1/03/2016,3,1,2016,3,2262,1,61,23,1,29,39,62,43,2,19
28,Metro South,Redland,1/03/2016,3,1,2016,4,1751,-8,76,28,1,10,40,82,51,3,12
28,Metro South,Redland,1/03/2016,3,1,2016,5,369,-1,93,24,1,2,67,95,11,3,3
28,Metro South,Redland,1/03/2016,3,1,2016,ALL,5044,-1,70,21,1,23,41,70,106,2,49
29,Metro South,Logan,1/03/2016,3,1,2016,1,44,19,100,0,0,73,41,30,0,0,0
29,Metro South,Logan,1/03/2016,3,1,2016,2,1551,11,42,14,3,58,50,55,7,0,49
29,Metro South,Logan,1/03/2016,3,1,2016,3,3792,9,41,40,3,41,56,66,115,3,121
29,Metro South,Logan,1/03/2016,3,1,2016,4,2143,16,63,40,2,18,67,84,125,6,50
29,Metro South,Logan,1/03/2016,3,1,2016,5,268,22,86,40,3,12,70,90,19,7,8
29,Metro South,Logan,1/03/2016,3,1,2016,ALL,7798,12,49,33,3,38,56,69,266,3,228
30,Metro North,Caboolture,1/03/2016,3,1,2016,1,19,6,95,0,0,63,42,47,0,0,0
30,Metro North,Caboolture,1/03/2016,3,1,2016,2,908,8,59,9,2,65,57,63,1,0,21
30,Metro North,Caboolture,1/03/2016,3,1,2016,3,2418,4,52,27,6,36,43,67,68,3,146
30,Metro North,Caboolture,1/03/2016,3,1,2016,4,1369,-8,73,24,5,14,49,84,57,4,69
30,Metro North,Caboolture,1/03/2016,3,1,2016,5,96,23,96,18,2,5,20,90,6,6,2
30,Metro North,Caboolture,1/03/2016,3,1,2016,ALL,4810,1,60,19,5,35,48,72,132,3,238
43,Sunshine Coast,Caloundra,1/03/2016,3,1,2016,1,7,40,100,0,14,43,67,43,0,0,1
43,Sunshine Coast,Caloundra,1/03/2016,3,1,2016,2,291,11,77,7,1,56,85,77,2,1,3
43,Sunshine Coast,Caloundra,1/03/2016,3,1,2016,3,1081,11,66,21,2,44,76,74,21,2,17
43,Sunshine Coast,Caloundra,1/03/2016,3,1,2016,4,1500,0,55,49,4,17,63,81,117,8,59
43,Sunshine Coast,Caloundra,1/03/2016,3,1,2016,5,122,-13,80,44,3,2,67,89,14,11,4
43,Sunshine Coast,Caloundra,1/03/2016,3,1,2016,ALL,3001,4,62,27,3,30,74,78,154,5,84
49,Sunshine Coast,Nambour,1/03/2016,3,1,2016,1,38,-16,100,0,3,92,60,58,0,0,1
49,Sunshine Coast,Nambour,1/03/2016,3,1,2016,2,811,9,81,6,1,74,52,55,0,0,8
49,Sunshine Coast,Nambour,1/03/2016,3,1,2016,3,2230,9,56,26,2,50,50,63,32,1,35
49,Sunshine Coast,Nambour,1/03/2016,3,1,2016,4,1571,4,64,38,3,24,56,79,88,6,41
49,Sunshine Coast,Nambour,1/03/2016,3,1,2016,5,241,-1,78,44,3,6,53,84,29,12,8
49,Sunshine Coast,Nambour,1/03/2016,3,1,2016,ALL,4891,6,64,23,2,44,52,68,149,3,93
62,Wide Bay,Bundaberg,1/03/2016,3,1,2016,1,17,6,100,0,6,53,89,76,0,0,1
62,Wide Bay,Bundaberg,1/03/2016,3,1,2016,2,353,34,79,7,2,71,67,70,0,0,8
62,Wide Bay,Bundaberg,1/03/2016,3,1,2016,3,1652,20,75,19,1,49,63,71,31,2,15
62,Wide Bay,Bundaberg,1/03/2016,3,1,2016,4,2133,-17,66,39,0,10,52,88,135,6,9
62,Wide Bay,Bundaberg,1/03/2016,3,1,2016,5,223,94,89,41,0,3,57,94,23,10,1
62,Wide Bay,Bundaberg,1/03/2016,3,1,2016,ALL,4378,1,72,24,1,30,62,80,189,4,34
68,Sunshine Coast,Gympie,1/03/2016,3,1,2016,1,16,300,100,0,0,13,50,38,0,0,0
68,Sunshine Coast,Gympie,1/03/2016,3,1,2016,2,255,-1,80,6,0,38,68,73,0,0,1
68,Sunshine Coast,Gympie,1/03/2016,3,1,2016,3,851,17,80,13,1,19,53,79,9,1,9
68,Sunshine Coast,Gympie,1/03/2016,3,1,2016,4,1285,-3,80,17,2,4,52,94,67,5,27
68,Sunshine Coast,Gympie,1/03/2016,3,1,2016,5,175,-31,95,12,2,2,67,98,16,9,3
68,Sunshine Coast,Gympie,1/03/2016,3,1,2016,ALL,2582,1,81,13,2,12,58,87,92,4,40
69,Wide Bay,Hervey Bay,1/03/2016,3,1,2016,1,15,-6,100,0,0,87,54,53,0,0,0
69,Wide Bay,Hervey Bay,1/03/2016,3,1,2016,2,381,28,86,6,1,66,47,52,0,0,3
69,Wide Bay,Hervey Bay,1/03/2016,3,1,2016,3,1236,-1,70,19,2,47,50,65,21,2,21
69,Wide Bay,Hervey Bay,1/03/2016,3,1,2016,4,1311,-6,71,32,1,15,64,88,81,6,13
69,Wide Bay,Hervey Bay,1/03/2016,3,1,2016,5,221,99,91,24,0,6,71,93,24,11,0
69,Wide Bay,Hervey Bay,1/03/2016,3,1,2016,ALL,3164,3,74,19,1,33,52,75,126,4,37
71,Wide Bay,Maryborough,1/03/2016,3,1,2016,1,6,-33,100,0,0,17,100,83,0,0,0
71,Wide Bay,Maryborough,1/03/2016,3,1,2016,2,204,13,85,6,1,22,48,59,0,0,3
71,Wide Bay,Maryborough,1/03/2016,3,1,2016,3,635,8,71,20,1,18,64,75,19,3,4
71,Wide Bay,Maryborough,1/03/2016,3,1,2016,4,790,-2,69,31,0,7,65,89,62,8,2
71,Wide Bay,Maryborough,1/03/2016,3,1,2016,5,126,-5,92,24,0,8,90,97,11,9,0
71,Wide Bay,Maryborough,1/03/2016,3,1,2016,ALL,1761,2,73,21,1,13,63,81,92,5,9
104,Darling Downs,Toowoomba,1/03/2016,3,1,2016,1,44,10,100,0,0,80,37,43,0,0,0
104,Darling Downs,Toowoomba,1/03/2016,3,1,2016,2,500,7,93,4,2,73,57,63,0,0,8
104,Darling Downs,Toowoomba,1/03/2016,3,1,2016,3,2246,10,67,19,2,48,64,74,37,2,49
104,Darling Downs,Toowoomba,1/03/2016,3,1,2016,4,1666,-10,69,33,5,13,69,86,110,7,81
104,Darling Downs,Toowoomba,1/03/2016,3,1,2016,5,133,17,92,22,8,10,100,99,12,9,11
104,Darling Downs,Toowoomba,1/03/2016,3,1,2016,ALL,4589,2,72,19,3,37,63,78,159,3,149
136,Central Queensland,Gladstone,1/03/2016,3,1,2016,1,33,120,97,0,6,73,79,76,0,0,2
136,Central Queensland,Gladstone,1/03/2016,3,1,2016,2,379,27,93,4,3,52,76,84,0,0,10
136,Central Queensland,Gladstone,1/03/2016,3,1,2016,3,866,10,95,9,3,26,64,87,5,1,22
136,Central Queensland,Gladstone,1/03/2016,3,1,2016,4,978,-15,96,9,2,7,66,96,15,2,24
136,Central Queensland,Gladstone,1/03/2016,3,1,2016,5,241,-16,100,10,1,4,90,100,1,0,2
136,Central Queensland,Gladstone,1/03/2016,3,1,2016,ALL,2497,-2,95,8,2,21,70,91,21,1,60
141,Central Queensland,Rockhampton,1/03/2016,3,1,2016,1,15,25,100,0,0,73,55,53,0,0,0
141,Central Queensland,Rockhampton,1/03/2016,3,1,2016,2,496,2,94,4,1,66,56,64,1,0,7
141,Central Queensland,Rockhampton,1/03/2016,3,1,2016,3,1709,-2,86,11,2,39,53,74,20,1,34
141,Central Queensland,Rockhampton,1/03/2016,3,1,2016,4,2008,3,89,20,1,13,58,89,66,3,29
141,Central Queensland,Rockhampton,1/03/2016,3,1,2016,5,167,-20,98,19,0,2,67,96,9,5,0
141,Central Queensland,Rockhampton,1/03/2016,3,1,2016,ALL,4395,0,89,12,2,29,55,81,96,2,70
172,Mackay,Mackay,1/03/2016,3,1,2016,1,41,-21,100,0,5,83,38,32,0,0,2
172,Mackay,Mackay,1/03/2016,3,1,2016,2,541,5,77,8,1,52,37,55,0,0,3
