Facility_Code,Health_Service,Facility_Name,Last_Month_In_QTR,Month,Quarter,Year,Triage_Category,Number_of_Attendances,Variation_Attendances_Percent,Patients_Seen_Within_Recommended_Times_Percent,Median_Waiting_Time_Minutes,Patients_Did_Not_Wait_For_Treatment_Percent,Patients_Admitted_From_ED_Percent,Admissions_To_Hospital_Within_4_Hours_Percent,ED_Stay_Within_4_Hours_Percent,Number_Left_After_Treatment_Commenced,Percent_Left_After_Treatment_Commenced,Number_Did_Not_Wait_For_Treatment
42,West Moreton,Boonah,1/09/2024,9,3,2024,3,341,-8.3,92.5,0,2.1,6.7,69.6,78.6,2,0.6,7
42,West Moreton,Boonah,1/09/2024,9,3,2024,4,422,12.2,97.3,0,2.6,3.3,64.3,90,2,0.5,11
42,West Moreton,Boonah,1/09/2024,9,3,2024,5,153,2,97.6,2,5.9,0.7,100,96.7,1,0.7,9
42,West Moreton,Boonah,1/09/2024,9,3,2024,ALL,1027,-0.3,94.8,0,2.6,4.5,63,85,9,0.9,27
43,Sunshine Coast,Caloundra,1/09/2024,9,3,2024,1,2,-60,100,0,0,0,0,100,0,0,0
43,Sunshine Coast,Caloundra,1/09/2024,9,3,2024,2,227,22.7,78.8,6,0,0,0,100,2,0.9,0
43,Sunshine Coast,Caloundra,1/09/2024,9,3,2024,3,844,53.2,89.7,12,0.9,0,0,99.4,3,0.4,8
43,Sunshine Coast,Caloundra,1/09/2024,9,3,2024,4,3948,35.4,68.6,30,6.5,0,100,97.6,63,1.6,256
43,Sunshine Coast,Caloundra,1/09/2024,9,3,2024,5,1426,-22.1,83.1,43,10.2,0.1,100,97.8,20,1.4,146
43,Sunshine Coast,Caloundra,1/09/2024,9,3,2024,ALL,6447,17.5,74.8,23,6.4,0,100,98,88,1.4,410
44,West Moreton,Esk,1/09/2024,9,3,2024,1,2,100,100,1,0,0,0,50,0,0,0
44,West Moreton,Esk,1/09/2024,9,3,2024,2,106,-22.1,69.8,5,0,15.1,50,60.4,1,0.9,0
44,West Moreton,Esk,1/09/2024,9,3,2024,3,267,13.6,92.5,8,0.4,10.5,46.4,74.2,4,1.5,1
44,West Moreton,Esk,1/09/2024,9,3,2024,4,457,18.1,96.2,8,0.9,6.1,71.4,89.3,18,3.9,4
44,West Moreton,Esk,1/09/2024,9,3,2024,5,231,86.3,99.4,6,0.9,1.7,75,97,6,2.6,2
44,West Moreton,Esk,1/09/2024,9,3,2024,ALL,1063,20.4,93,7,0.7,7.1,57.9,84.2,29,2.7,7
45,West Moreton,Gatton,1/09/2024,9,3,2024,1,11,-42.1,100,1,0,9.1,100,90.9,0,0,0
45,West Moreton,Gatton,1/09/2024,9,3,2024,2,298,7.2,84.1,3,0.3,5.7,94.1,80.9,7,2.3,1
45,West Moreton,Gatton,1/09/2024,9,3,2024,3,1007,11.5,90.9,6,3.7,4.7,80.9,90.2,17,1.7,37
45,West Moreton,Gatton,1/09/2024,9,3,2024,4,1187,16.9,93.3,6,3.7,1.8,81,95.2,18,1.5,44
45,West Moreton,Gatton,1/09/2024,9,3,2024,5,235,-22.7,100,5,5.1,0.9,100,98.7,0,0,12
45,West Moreton,Gatton,1/09/2024,9,3,2024,ALL,2738,8.7,91.8,5,3.4,3.2,84.1,92.1,42,1.5,94
48,Sunshine Coast,Maleny,1/09/2024,9,3,2024,1,5,25,100,0,0,20,100,80,1,20,0
48,Sunshine Coast,Maleny,1/09/2024,9,3,2024,2,107,-26.2,86.8,1,0,18.7,90,79.4,3,2.8,0
48,Sunshine Coast,Maleny,1/09/2024,9,3,2024,3,293,7.7,90,6,0.3,10.2,70,85.3,1,0.3,1
48,Sunshine Coast,Maleny,1/09/2024,9,3,2024,4,566,14.8,92.1,13,1.1,3.5,80,95.6,2,0.4,6
48,Sunshine Coast,Maleny,1/09/2024,9,3,2024,5,427,19.6,98.9,15,2.6,1.6,100,98.1,4,0.9,11
48,Sunshine Coast,Maleny,1/09/2024,9,3,2024,ALL,1398,10,93.2,10,1.3,5.6,80.8,92.9,11,0.8,18
49,Sunshine Coast,Nambour,1/09/2024,9,3,2024,1,43,38.7,100,0,0,39.5,35.3,34.9,0,0,0
49,Sunshine Coast,Nambour,1/09/2024,9,3,2024,2,2323,2.1,83.9,6,0,39,40.9,48.9,29,1.2,1
49,Sunshine Coast,Nambour,1/09/2024,9,3,2024,3,6741,8.3,80.3,13,1.1,34,33.9,52,235,3.5,75
49,Sunshine Coast,Nambour,1/09/2024,9,3,2024,4,6243,11.6,82.3,21,3.2,8,40.2,81.1,218,3.5,197
49,Sunshine Coast,Nambour,1/09/2024,9,3,2024,5,1167,20.3,96.3,23,3.7,2,56.5,94.7,7,0.6,43
49,Sunshine Coast,Nambour,1/09/2024,9,3,2024,ALL,16517,9.4,82.8,14,1.9,22.6,36.6,65.5,489,3,316
68,Sunshine Coast,Gympie,1/09/2024,9,3,2024,1,41,5.1,100,0,0,29.3,41.7,41.5,0,0,0
68,Sunshine Coast,Gympie,1/09/2024,9,3,2024,2,1302,12.2,67.7,8,0.1,44.7,42.6,48,24,1.8,1
68,Sunshine Coast,Gympie,1/09/2024,9,3,2024,3,3574,9.7,48.9,31,3.5,25.4,25.8,50.6,150,4.2,126
68,Sunshine Coast,Gympie,1/09/2024,9,3,2024,4,3566,5.4,69.3,35,6.9,5.9,25.9,75.9,136,3.8,245
68,Sunshine Coast,Gympie,1/09/2024,9,3,2024,5,390,-7.6,92.4,16,6.4,0.5,50,90.8,14,3.6,25
68,Sunshine Coast,Gympie,1/09/2024,9,3,2024,ALL,8873,7.4,61.7,25,4.5,19.3,31.6,62.1,324,3.7,397
47,West Moreton,Laidley,1/09/2024,9,3,2024,1,5,-76.2,100,1,0,20,0,60,0,0,0
47,West Moreton,Laidley,1/09/2024,9,3,2024,2,366,19.2,60.2,8,0.8,6.3,34.8,71.3,13,3.6,3
47,West Moreton,Laidley,1/09/2024,9,3,2024,3,763,44.2,78.1,13,1,4.7,47.2,82.3,30,3.9,8
47,West Moreton,Laidley,1/09/2024,9,3,2024,4,663,2.6,87.3,13,0.9,3,55,89.4,48,7.2,6
47,West Moreton,Laidley,1/09/2024,9,3,2024,5,268,-13.5,96,11,5.2,1.1,66.7,93.7,22,8.2,14
47,West Moreton,Laidley,1/09/2024,9,3,2024,ALL,2065,13.9,79.5,11,1.5,4,45.8,84.1,113,5.5,31
61,Wide Bay,Biggenden,1/09/2024,9,3,2024,1,1,0,100,0,0,100,100,100,0,0,0
61,Wide Bay,Biggenden,1/09/2024,9,3,2024,2,29,38.1,96.6,0,0,55.2,100,100,2,6.9,0
61,Wide Bay,Biggenden,1/09/2024,9,3,2024,3,71,2.9,100,0,0,36.6,100,100,0,0,0
61,Wide Bay,Biggenden,1/09/2024,9,3,2024,4,210,12.9,99,0,1,12.4,100,99.5,2,1,2
61,Wide Bay,Biggenden,1/09/2024,9,3,2024,5,115,-4.2,100,0,0,4.3,100,99.1,0,0,0
61,Wide Bay,Biggenden,1/09/2024,9,3,2024,ALL,426,7.6,99.3,0,0.5,17.4,100,99.5,4,0.9,2
62,Wide Bay,Bundaberg,1/09/2024,9,3,2024,1,41,-22.6,97.6,0,0,70.7,20.7,26.8,1,2.4,0
62,Wide Bay,Bundaberg,1/09/2024,9,3,2024,2,2158,1.1,63.2,9,1.2,50.7,22.8,30.6,142,6.6,25
62,Wide Bay,Bundaberg,1/09/2024,9,3,2024,3,5840,-2.3,49.5,31,7.6,34.9,14.2,34.4,602,10.3,444
62,Wide Bay,Bundaberg,1/09/2024,9,3,2024,4,3193,-8.2,60.9,42,12.8,10,22,64,272,8.5,410
62,Wide Bay,Bundaberg,1/09/2024,9,3,2024,5,384,-10.7,90.5,31,13.5,1.6,33.3,82.3,26,6.8,52
62,Wide Bay,Bundaberg,1/09/2024,9,3,2024,ALL,11616,-3.8,56.6,26,8,30,17.7,43.4,1043,9,931
64,Wide Bay,Childers,1/09/2024,9,3,2024,1,5,0,80,0,0,80,100,100,0,0,0
64,Wide Bay,Childers,1/09/2024,9,3,2024,2,98,0,91.8,0,0,55.1,100,96.9,3,3.1,0
64,Wide Bay,Childers,1/09/2024,9,3,2024,3,429,35.8,86.7,5,1.6,27.7,96.6,97,5,1.2,7
64,Wide Bay,Childers,1/09/2024,9,3,2024,4,537,19.6,93.3,3,3.7,9.9,98.1,96.8,7,1.3,20
64,Wide Bay,Childers,1/09/2024,9,3,2024,5,174,-23.3,97.3,7,10.3,3.4,83.3,94.3,0,0,18
64,Wide Bay,Childers,1/09/2024,9,3,2024,ALL,1243,13.5,91.2,3,3.6,19,97.5,96.5,15,1.2,45
65,Wide Bay,Eidsvold,1/09/2024,9,3,2024,1,1,0,100,0,0,100,100,100,0,0,0
65,Wide Bay,Eidsvold,1/09/2024,9,3,2024,2,7,-58.8,85.7,0,0,71.4,80,85.7,0,0,0
65,Wide Bay,Eidsvold,1/09/2024,9,3,2024,3,38,65.2,97.4,0,0,42.1,100,94.7,0,0,0
65,Wide Bay,Eidsvold,1/09/2024,9,3,2024,4,53,-10.2,98.1,0,0,20.8,100,98.1,1,1.9,0
65,Wide Bay,Eidsvold,1/09/2024,9,3,2024,5,53,43.2,100,0,0,13.2,100,100,0,0,0
